entrance_year, course_id, course_category, course_name, course_year, credit_required, credit_elective
2019,FRA 203,武蔵野BASIS,フランス語２Ｃ,2年,0,1
2019,FRA 204,武蔵野BASIS,フランス語２Ｄ,2年,0,1
2019,FRA 301,武蔵野BASIS,フランス語３Ａ,3年,0,1
2019,FRA 302,武蔵野BASIS,フランス語３Ｂ,3年,0,1
2019,GER 101,武蔵野BASIS,ドイツ語１Ａ,1年,0,1
2019,GER 102,武蔵野BASIS,ドイツ語１Ｂ,1年,0,1
2019,GER 103,武蔵野BASIS,ドイツ語１Ｃ,1年,0,1
2019,GER 104,武蔵野BASIS,ドイツ語１Ｄ,1年,0,1
2019,GER 201,武蔵野BASIS,ドイツ語２Ａ,2年,0,1
2019,GER 202,武蔵野BASIS,ドイツ語２Ｂ,2年,0,1
2019,GER 203,武蔵野BASIS,ドイツ語２Ｃ,2年,0,1
2019,GER 204,武蔵野BASIS,ドイツ語２Ｄ,2年,0,1
2019,GER 301,武蔵野BASIS,ドイツ語３Ａ,3年,0,1
2019,GER 302,武蔵野BASIS,ドイツ語３Ｂ,3年,0,1
2019,SPA 101,武蔵野BASIS,スペイン語１Ａ,1年,0,1
2019,SPA 102,武蔵野BASIS,スペイン語１Ｂ,1年,0,1
2019,SPA 103,武蔵野BASIS,スペイン語１Ｃ,1年,0,1
2019,SPA 104,武蔵野BASIS,スペイン語１Ｄ,1年,0,1
2019,SPA 201,武蔵野BASIS,スペイン語２Ａ,2年,0,1
2019,SPA 202,武蔵野BASIS,スペイン語２Ｂ,2年,0,1
2019,SPA 203,武蔵野BASIS,スペイン語２Ｃ,2年,0,1
2019,SPA 204,武蔵野BASIS,スペイン語２Ｄ,2年,0,1
2019,SPA 301,武蔵野BASIS,スペイン語３Ａ,3年,0,1
2019,SPA 302,武蔵野BASIS,スペイン語３Ｂ,3年,0,1
2019,KOR 101,武蔵野BASIS,韓国語１Ａ,1年,0,1
2019,KOR 102,武蔵野BASIS,韓国語１Ｂ,1年,0,1
2019,KOR 103,武蔵野BASIS,韓国語１Ｃ,1年,0,1
2019,KOR 104,武蔵野BASIS,韓国語１Ｄ,1年,0,1
2019,KOR 201,武蔵野BASIS,韓国語２Ａ,2年,0,1
2019,KOR 202,武蔵野BASIS,韓国語２Ｂ,2年,0,1
2019,KOR 203,武蔵野BASIS,韓国語２Ｃ,2年,0,1
2019,KOR 204,武蔵野BASIS,韓国語２Ｄ,2年,0,1
2019,KOR 301,武蔵野BASIS,韓国語３Ａ,3年,0,1
2019,KOR 302,武蔵野BASIS,韓国語３Ｂ,3年,0,1
2019,AL 301,武蔵野BASIS,English for Studying Abroad 1,1・2年,0,1
2019,AL 302,武蔵野BASIS,English for Studying Abroad 2,1・2年,0,1
2019,AL 101,武蔵野BASIS,英語資格・検定試験対策A,1年,0,1
2019,AL 102,武蔵野BASIS,英語資格・検定試験対策B,1年,0,1
2019,JL 101,武蔵野BASIS,⽇本語リテラシー,1年,1,0
2019,SD 101,武蔵野BASIS,基礎セルフディベロップメント,1年,6,0
